game,date,team,home_away,opponent,record,runs,runs_against,ex_inn,record,rank,gb,win,loss,save,time,d_n,attendance,streak,season,day,nudate,gm_of_dh,games_back,gb_status
23,1977-05-04,LAD,,SFG,W,9,1,,16-7,1,up 1.0,Gonsolin,Wood,,3:00,N,52203,+++,1977,Wednesday,May 4,,1.0,down
24,1977-05-07,LAD,@,CHC,W,7,0,,17-7,1,up 1.5,Kershaw,Smyly,,2:43,D,37594,++++,1977,Saturday,May 7,1),1.5,down
25,1977-05-07,LAD,@,CHC,W,6,2,,18-7,1,up 1.5,Anderson,Norris,,3:05,N,31520,+++++,1977,Saturday,May 7,2),1.5,down
26,1977-05-08,LAD,@,CHC,W,7,1,,19-7,1,up 1.5,Buehler,Steele,,2:57,N,31424,++++++,1977,Sunday,May 8,,1.5,down
27,1977-05-09,LAD,@,PIT,L,1,5,,19-8,1,up 1.5,Quintana,Urias,,2:41,N,8527,-,1977,Monday,May 9,,1.5,down
28,1977-05-10,LAD,@,PIT,W,11,1,,20-8,1,up 1.5,Gonsolin,Wilson,,3:02,N,11583,+,1977,Tuesday,May 10,,1.5,down
29,1977-05-11,LAD,@,PIT,L,3,5,,20-9,1,up 1.5,Crowe,Hudson,Bednar,3:20,D,11105,-,1977,Wednesday,May 11,,1.5,down
30,1977-05-12,LAD,,PHI,L,7,9,,20-10,1,up 1.0,Bellatti,Hudson,Knebel,3:29,N,46539,--,1977,Thursday,May 12,,1.0,down
31,1977-05-13,LAD,,PHI,L,10,12,10,20-11,1,Tied,Familia,Graterol,Morales,4:18,N,50712,---,1977,Friday,May 13,,0,tied
32,1977-05-14,LAD,,PHI,L,3,8,,20-12,1,Tied,Suarez,Urias,,2:38,N,50279,----,1977,Saturday,May 14,,0,tied
33,1977-05-15,LAD,,PHI,W-wo,5,4,,21-12,1,Tied,Greene,Knebel,,3:33,D,51869,+,1977,Sunday,May 15,,0,tied
34,1977-05-16,LAD,,ARI,W,5,4,,22-12,1,up 0.5,Gonsolin,Bumgarner,Kimbrel,2:56,N,42650,++,1977,Monday,May 16,,0.5,down
35,1977-05-17,LAD,,ARI,W,7,6,,23-12,1,up 1.0,White,Gilbert,Kimbrel,3:10,D,42089,+++,1977,Tuesday,May 17,1),1.0,down
36,1977-05-17,LAD,,ARI,W,12,3,,24-12,1,up 1.0,Anderson,Kelly,,2:45,N,46850,++++,1977,Tuesday,May 17,2),1.0,down
37,1977-05-18,LAD,,ARI,W,5,3,,25-12,1,up 2.0,Buehler,Davies,Hudson,3:01,D,35643,+++++,1977,Wednesday,May 18,,2.0,down
38,1977-05-20,LAD,@,PHI,W,4,1,,26-12,1,up 1.5,Urias,Suarez,Kimbrel,3:44,N,30025,++++++,1977,Friday,May 20,,1.5,down
39,1977-05-21,LAD,@,PHI,W,7,4,,27-12,1,up 1.5,Hudson,Alvarado,Kimbrel,3:57,N,32068,+++++++,1977,Saturday,May 21,,1.5,down
40,1977-05-22,LAD,@,PHI,L-wo,3,4,10,27-13,1,up 0.5,Knebel,Phillips,,3:29,D,34021,-,1977,Sunday,May 22,,0.5,down
41,1977-05-23,LAD,@,WSN,W,10,1,,28-13,1,up 0.5,Anderson,Adon,,2:52,N,22423,+,1977,Monday,May 23,,0.5,down
42,1977-05-24,LAD,@,WSN,W,9,4,,29-13,1,up 1.5,Buehler,Gray,,3:19,N,22418,++,1977,Tuesday,May 24,,1.5,down
43,1977-05-25,LAD,@,WSN,L,0,1,,29-14,1,up 1.5,Fedde,Urias,Rainey,2:53,D,23341,-,1977,Wednesday,May 25,,1.5,down
44,1977-05-26,LAD,@,ARI,W,14,1,,30-14,1,up 2.0,Bruihl,Castellanos,,3:21,N,17057,+,1977,Thursday,May 26,,2.0,down
45,1977-05-27,LAD,@,ARI,W,6,4,,31-14,1,up 2.0,Graterol,Bumgarner,,3:11,N,24865,++,1977,Friday,May 27,,2.0,down
46,1977-05-28,LAD,@,ARI,W,3,2,,32-14,1,up 3.0,Gonsolin,Kelly,Hudson,3:12,D,30819,+++,1977,Saturday,May 28,,3.0,down
47,1977-05-29,LAD,@,ARI,W,3,1,,33-14,1,up 3.0,Anderson,Davies,Kimbrel,2:47,D,30482,++++,1977,Sunday,May 29,,3.0,down
48,1977-05-30,LAD,,PIT,L,5,6,,33-15,1,up 3.0,Bednar,Kimbrel,,3:18,N,46724,-,1977,Monday,May 30,,3.0,down
49,1977-05-31,LAD,,PIT,L,3,5,,33-16,1,up 3.0,Keller,Urias,Crowe,3:09,N,52686,--,1977,Tuesday,May 31,,3.0,down
50,1977-06-01,LAD,,PIT,L,4,8,,33-17,1,up 3.0,De Jong,White,,3:28,N,39324,---,1977,Wednesday,Jun 1,,3.0,down
51,1977-06-02,LAD,,NYM,W,2,0,,34-17,1,up 4.0,Gonsolin,Walker,Kimbrel,2:54,N,48018,+,1977,Thursday,Jun 2,,4.0,down
52,1977-06-03,LAD,,NYM,W,6,1,,35-17,1,up 4.0,Anderson,Bassitt,Hudson,2:55,N,52505,++,1977,Friday,Jun 3,,4.0,down
53,1977-06-04,LAD,,NYM,L,4,9,,35-18,1,up 3.0,Holderman,Buehler,,3:33,N,50165,-,1977,Saturday,Jun 4,,3.0,down
54,1977-06-05,LAD,,NYM,L,4,5,10,35-19,1,up 2.0,Lugo,Kimbrel,Medina,3:59,D,48672,--,1977,Sunday,Jun 5,,2.0,down
55,1977-06-07,LAD,@,CHW,L,0,4,,35-20,1,up 1.5,Kopech,Bickford,,2:49,N,25625,---,1977,Tuesday,Jun 7,,1.5,down
56,1977-06-08,LAD,@,CHW,W,4,1,,36-20,1,up 1.5,Gonsolin,Cueto,Hudson,2:36,N,25078,+,1977,Wednesday,Jun 8,,1.5,down
57,1977-06-09,LAD,@,CHW,W,11,9,,37-20,1,up 2.0,Graterol,Cease,,4:13,D,25482,++,1977,Thursday,Jun 9,,2.0,down
58,1977-06-10,LAD,@,SFG,L,2,7,,37-21,1,up 1.0,Junis,Buehler,,2:45,N,39701,-,1977,Friday,Jun 10,,1.0,down
59,1977-06-11,LAD,@,SFG,L,2,3,,37-22,1,up 0.5,Doval,Kershaw,Alvarez,3:32,D,41236,--,1977,Saturday,Jun 11,,0.5,down
60,1977-06-12,LAD,@,SFG,L,0,2,,37-23,1,up 0.5,Rodon,Urias,McGee,2:56,D,41197,---,1977,Sunday,Jun 12,,0.5,down
61,1977-06-14,LAD,,LAA,W,2,0,,38-23,1,Tied,Gonsolin,Syndergaard,Kimbrel,2:58,N,51013,+,1977,Tuesday,Jun 14,,0,tied
62,1977-06-15,LAD,,LAA,W,4,1,,39-23,1,Tied,Anderson,Detmers,,2:50,N,50812,++,1977,Wednesday,Jun 15,,0,tied
63,1977-06-17,LAD,,CLE,L,1,2,10,39-24,2,0.5,Gose,Phillips,De Los Santos,3:20,N,48361,-,1977,Friday,Jun 17,,0.5,down
64,1977-06-18,LAD,,CLE,W,7,1,,40-24,1,up 0.5,Urias,Quantrill,,2:57,D,50078,+,1977,Saturday,Jun 18,,0.5,down
65,1977-06-19,LAD,,CLE,L,3,5,,40-25,1,up 0.5,Morgan,Kimbrel,Clase,3:08,D,53033,-,1977,Sunday,Jun 19,,0.5,down
66,1977-06-21,LAD,@,CIN,W,8,2,,41-25,1,Tied,Gonsolin,Mahle,,2:56,N,18476,+,1977,Tuesday,Jun 21,,0,tied
67,1977-06-22,LAD,@,CIN,W,8,4,,42-25,1,Tied,Vesia,Detwiler,,3:22,N,17344,++,1977,Wednesday,Jun 22,,0,tied
68,1977-06-23,LAD,@,CIN,W,10,5,,43-25,1,up 1.0,Kershaw,Greene,,3:14,D,21989,+++,1977,Thursday,Jun 23,,1.0,down
69,1977-06-24,LAD,@,ATL,W,4,1,,44-25,1,up 1.0,Urias,Anderson,Kimbrel,3:09,N,42105,++++,1977,Friday,Jun 24,,1.0,down
70,1977-06-25,LAD,@,ATL,L,3,5,,44-26,1,up 1.0,Minter,Graterol,Jansen,3:12,N,42161,-,1977,Saturday,Jun 25,,1.0,down
71,1977-06-26,LAD,@,ATL,W,5,3,11,45-26,1,up 2.0,Kimbrel,O'Day,Graterol,4:23,N,42217,+,1977,Sunday,Jun 26,,2.0,down
72,1977-06-27,LAD,@,COL,L,0,4,,45-27,1,up 1.5,Kuhl,Anderson,,2:19,N,38706,-,1977,Monday,Jun 27,,1.5,down
73,1977-06-28,LAD,@,COL,L,4,7,,45-28,1,up 1.5,Freeland,Kershaw,,2:45,N,36097,--,1977,Tuesday,Jun 28,,1.5,down
74,1977-06-29,LAD,@,COL,W,8,4,,46-28,1,up 1.5,Urias,Marquez,,2:56,N,37092,+,1977,Wednesday,Jun 29,,1.5,down
75,1977-06-30,LAD,,SDP,W,3,1,,47-28,1,up 2.5,Phillips,Musgrove,Kimbrel,2:50,N,53094,++,1977,Thursday,Jun 30,,2.5,down
76,1977-07-01,LAD,,SDP,W,5,1,,48-28,1,up 3.5,Gonsolin,Stammen,,2:56,N,48076,+++,1977,Friday,Jul 1,,3.5,down
77,1977-07-02,LAD,,SDP,W,7,2,,49-28,1,up 4.5,Anderson,Darvish,,3:17,D,47061,++++,1977,Saturday,Jul 2,,4.5,down
78,1977-07-03,LAD,,SDP,L,2,4,,49-29,1,up 3.5,Martinez,Kimbrel,Rogers,3:12,D,42633,-,1977,Sunday,Jul 3,,3.5,down
79,1977-07-04,LAD,,COL,W,5,3,,50-29,1,up 4.5,Urias,Freeland,Almonte,3:06,N,47163,+,1977,Monday,Jul 4,,4.5,down
80,1977-07-05,LAD,,COL,W,5,2,,51-29,1,up 5.5,Pepiot,Marquez,Graterol,3:00,N,45885,++,1977,Tuesday,Jul 5,,5.5,down
81,1977-07-06,LAD,,COL,W-wo,2,1,,52-29,1,up 6.0,Kimbrel,Bard,,3:01,N,45098,+++,1977,Wednesday,Jul 6,,6.0,down
82,1977-07-07,LAD,,CHC,W,5,3,,53-29,1,up 6.0,Gonsolin,Leiter,Vesia,2:55,N,52072,++++,1977,Thursday,Jul 7,,6.0,down
83,1977-07-08,LAD,,CHC,W-wo,4,3,10,54-29,1,up 6.0,Phillips,Wick,,3:01,N,44158,+++++,1977,Friday,Jul 8,,6.0,down
84,1977-07-09,LAD,,CHC,W,4,2,,55-29,1,up 7.0,Kershaw,Wick,Kimbrel,2:41,N,45198,++++++,1977,Saturday,Jul 9,,7.0,down
85,1977-07-10,LAD,,CHC,W,11,9,,56-29,1,up 8.0,Bickford,Leiter,Graterol,3:59,D,41824,+++++++,1977,Sunday,Jul 10,,8.0,down
86,1977-07-12,LAD,@,STL,L,6,7,,56-30,1,up 7.5,Oviedo,White,Gallegos,3:28,N,37150,-,1977,Tuesday,Jul 12,,7.5,down
87,1977-07-13,LAD,@,STL,W,7,6,,57-30,1,up 8.5,Kimbrel,Gallegos,Phillips,3:46,N,39292,+,1977,Wednesday,Jul 13,,8.5,down
88,1977-07-14,LAD,@,STL,W,4,0,,58-30,1,up 9.5,Anderson,Hudson,,3:00,N,40062,++,1977,Thursday,Jul 14,,9.5,down
89,1977-07-15,LAD,@,LAA,W,9,1,,59-30,1,up 9.5,Kershaw,Sandoval,,3:01,N,44648,+++,1977,Friday,Jul 15,,9.5,down
90,1977-07-16,LAD,@,LAA,W,7,1,,60-30,1,up 9.5,Urias,Suarez,,3:07,N,44728,++++,1977,Saturday,Jul 16,,9.5,down
91,1977-07-21,LAD,,SFG,W,9,6,,61-30,1,up10.5,Phillips,Leone,Kimbrel,3:29,N,53165,+++++,1977,Thursday,Jul 21,,10.5,down
92,1977-07-22,LAD,,SFG,W,5,1,,62-30,1,up10.5,Vesia,Long,,3:04,N,51316,++++++,1977,Friday,Jul 22,,10.5,down
93,1977-07-23,LAD,,SFG,W,4,2,,63-30,1,up10.5,Urias,Wood,Price,3:21,D,47749,+++++++,1977,Saturday,Jul 23,,10.5,down
94,1977-07-24,LAD,,SFG,W,7,4,,64-30,1,up11.5,Phillips,Leone,Kimbrel,3:25,D,47505,++++++++,1977,Sunday,Jul 24,,11.5,down
95,1977-07-25,LAD,,WSN,L,1,4,,64-31,1,up11.5,Machado,Gonsolin,Finnegan,3:14,N,48647,-,1977,Monday,Jul 25,,11.5,down
96,1977-07-26,LAD,,WSN,L,3,8,,64-32,1,up10.5,Ramirez,Cleavinger,,3:27,N,53302,--,1977,Tuesday,Jul 26,,10.5,down
97,1977-07-27,LAD,,WSN,W,7,1,,65-32,1,up11.5,Vesia,Corbin,,3:03,D,44229,+,1977,Wednesday,Jul 27,,11.5,down
98,1977-07-28,LAD,@,COL,W,13,0,,66-32,1,up12.0,Anderson,Urena,,3:06,N,32182,++,1977,Thursday,Jul 28,,12.0,down
99,1977-07-29,LAD,@,COL,W,5,4,,67-32,1,up12.0,Urias,Kuhl,Kimbrel,3:12,N,41656,+++,1977,Friday,Jul 29,,12.0,down
100,1977-07-30,LAD,@,COL,L,3,5,,67-33,1,up12.0,Freeland,Kershaw,Bard,2:43,N,47415,-,1977,Saturday,Jul 30,,12.0,down
101,1977-07-31,LAD,@,COL,W,7,3,,68-33,1,up12.0,Gonsolin,Marquez,,3:11,D,36212,+,1977,Sunday,Jul 31,,12.0,down
102,1977-08-01,LAD,@,SFG,W,8,2,,69-33,1,up12.0,Ferguson,Webb,,2:50,N,34865,++,1977,Monday,Aug 1,,12.0,down
103,1977-08-02,LAD,@,SFG,W,9,5,,70-33,1,up11.5,Anderson,Wood,,3:03,N,32798,+++,1977,Tuesday,Aug 2,,11.5,down
104,1977-08-03,LAD,@,SFG,W,3,0,,71-33,1,up11.5,Urias,Cobb,Kimbrel,3:06,N,35400,++++,1977,Wednesday,Aug 3,,11.5,down
105,1977-08-04,LAD,@,SFG,W,5,3,,72-33,1,up12.5,Martin,Junis,Kimbrel,3:08,D,34640,+++++,1977,Thursday,Aug 4,,12.5,down
106,1977-08-05,LAD,,SDP,W,8,1,,73-33,1,up13.5,Gonsolin,Manaea,,3:03,N,52714,++++++,1977,Friday,Aug 5,,13.5,down
107,1977-08-06,LAD,,SDP,W,8,3,,74-33,1,up14.5,Martin,Clevinger,,3:08,N,52124,+++++++,1977,Saturday,Aug 6,,14.5,down
108,1977-08-07,LAD,,SDP,W,4,0,,75-33,1,up15.5,Anderson,Darvish,,2:48,D,48093,++++++++,1977,Sunday,Aug 7,,15.5,down
109,1977-08-09,LAD,,MIN,W,10,3,,76-33,1,up16.0,Urias,Ryan,,3:13,N,47874,+++++++++,1977,Tuesday,Aug 9,,16.0,down
110,1977-08-10,LAD,,MIN,W,8,5,,77-33,1,up16.0,Price,Fulmer,,3:15,N,53432,++++++++++,1977,Wednesday,Aug 10,,16.0,down
111,1977-08-12,LAD,@,KCR,W,8,3,,78-33,1,up16.0,Gonsolin,Staumont,,3:12,N,24333,+++++++++++,1977,Friday,Aug 12,,16.0,down
112,1977-08-13,LAD,@,KCR,W,13,3,,79-33,1,up17.0,Bickford,Keller,,3:05,N,29689,++++++++++++,1977,Saturday,Aug 13,,17.0,down
113,1977-08-14,LAD,@,KCR,L,0,4,,79-34,1,up16.0,Singer,Anderson,Barlow,2:49,D,18481,-,1977,Sunday,Aug 14,,16.0,down
114,1977-08-15,LAD,@,MIL,W,4,0,,80-34,1,up17.0,Urias,Peralta,,3:12,N,27084,+,1977,Monday,Aug 15,,17.0,down
115,1977-08-16,LAD,@,MIL,L-wo,4,5,11,80-35,1,up17.0,Suter,Kimbrel,,3:52,N,32948,-,1977,Tuesday,Aug 16,,17.0,down
116,1977-08-17,LAD,@,MIL,W,2,1,,81-35,1,up17.0,Gonsolin,Lauer,Kimbrel,2:49,N,30259,+,1977,Wednesday,Aug 17,,17.0,down
117,1977-08-18,LAD,@,MIL,L,3,5,,81-36,1,up17.0,Burnes,Heaney,Williams,2:58,D,37403,-,1977,Thursday,Aug 18,,17.0,down
118,1977-08-19,LAD,,MIA,W,2,1,,82-36,1,up18.0,Martin,Floro,Phillips,2:41,N,50431,+,1977,Friday,Aug 19,,18.0,down
119,1977-08-20,LAD,,MIA,W,7,0,,83-36,1,up18.0,May,Hoeing,,2:39,N,51813,++,1977,Saturday,Aug 20,,18.0,down
120,1977-08-21,LAD,,MIA,W,10,3,,84-36,1,up18.0,Pepiot,Alcantara,,3:18,D,42125,+++,1977,Sunday,Aug 21,,18.0,down
121,1977-08-22,LAD,,MIL,L,0,4,,84-37,1,up17.5,Lauer,Urias,,3:02,N,37091,-,1977,Monday,Aug 22,,17.5,down
122,1977-08-23,LAD,,MIL,W,10,1,,85-37,1,up18.5,Gonsolin,Burnes,,3:02,N,53222,+,1977,Tuesday,Aug 23,,18.5,down
123,1977-08-24,LAD,,MIL,W,12,6,,86-37,1,up19.5,Heaney,Houser,,3:07,N,47216,++,1977,Wednesday,Aug 24,,19.5,down
124,1977-08-26,LAD,@,MIA,W,10,6,10,87-37,1,up19.5,Price,Nardi,,4:18,N,9365,+++,1977,Friday,Aug 26,,19.5,down
125,1977-08-27,LAD,@,MIA,L,1,2,,87-38,1,up18.5,Alcantara,May,,2:17,N,23543,-,1977,Saturday,Aug 27,,18.5,down
126,1977-08-28,LAD,@,MIA,W,8,1,,88-38,1,up19.5,Urias,Cabrera,,3:14,D,13617,+,1977,Sunday,Aug 28,,19.5,down
127,1977-08-29,LAD,@,MIA,W,3,2,10,89-38,1,up19.5,Kimbrel,Brazoban,Martin,3:27,N,10288,++,1977,Monday,Aug 29,,19.5,down
128,1977-08-30,LAD,@,NYM,W,4,3,,90-38,1,up19.5,Hembree,Rodriguez,Reed,3:12,N,40607,+++,1977,Tuesday,Aug 30,,19.5,down
129,1977-08-31,LAD,@,NYM,L,1,2,,90-39,1,up18.5,deGrom,Anderson,Díaz,2:19,N,41799,-,1977,Wednesday,Aug 31,,18.5,down
130,1977-09-01,LAD,@,NYM,L,3,5,,90-40,1,up18.0,Bassitt,Martin,Ottavino,3:14,D,36908,--,1977,Thursday,Sep 1,,18.0,down
131,1977-09-02,LAD,,SDP,L,1,7,,90-41,1,up17.0,Darvish,May,,3:30,N,45164,---,1977,Friday,Sep 2,,17.0,down
132,1977-09-03,LAD,,SDP,W,12,1,,91-41,1,up18.0,Urias,Manaea,,2:42,N,46144,+,1977,Saturday,Sep 3,,18.0,down
133,1977-09-04,LAD,,SDP,W,9,4,,92-41,1,up19.0,Vesia,Clevinger,,4:08,D,48522,++,1977,Sunday,Sep 4,,19.0,down
134,1977-09-05,LAD,,SFG,L,4,7,,92-42,1,up19.0,Webb,Heaney,Doval,3:01,N,51887,-,1977,Monday,Sep 5,,19.0,down
135,1977-09-06,LAD,,SFG,W,6,3,,93-42,1,up19.0,Anderson,Garcia,Kimbrel,2:43,N,39752,+,1977,Tuesday,Sep 6,,19.0,down
136,1977-09-07,LAD,,SFG,W,7,3,,94-42,1,up19.0,Phillips,Littell,,3:13,D,39237,++,1977,Wednesday,Sep 7,,19.0,down
137,1977-09-09,LAD,@,SDP,L-wo,4,5,10,94-43,1,up18.0,Morejón,Hembree,,3:47,N,43286,-,1977,Friday,Sep 9,,18.0,down
1,1978-04-08,LAD,@,COL,W,5,3,,1-0,1,Tied,Buehler,Freeland,Kimbrel,3:09,D,48627,+,1978,Friday,Apr 8,,0,tied
2,1978-04-09,LAD,@,COL,L,2,3,,1-1,2,0.5,Estevez,Treinen,Bard,2:48,N,48087,-,1978,Saturday,Apr 9,,0.5,down
3,1978-04-10,LAD,@,COL,L,4,9,,1-2,4,1.5,Chacin,Urias,Blach,3:13,D,40825,--,1978,Sunday,Apr 10,,1.5,down
4,1978-04-12,LAD,@,MIN,W,7,2,,2-2,4,1.5,Hudson,Pagan,,4:00,N,16732,+,1978,Tuesday,Apr 12,,1.5,down
5,1978-04-13,LAD,@,MIN,W,7,0,,3-2,3,1.0,Kershaw,Paddack,,2:34,D,17101,++,1978,Wednesday,Apr 13,,1.0,down
6,1978-04-14,LAD,,CIN,W,9,3,,4-2,1,Tied,Treinen,Wilson,,3:10,N,52995,+++,1978,Thursday,Apr 14,,0,tied
7,1978-04-15,LAD,,CIN,W,3,1,,5-2,1,Tied,Anderson,Gutiérrez,Kimbrel,3:15,N,51891,++++,1978,Friday,Apr 15,,0,tied
8,1978-04-16,LAD,,CIN,W,5,2,,6-2,1,Tied,Phillips,Greene,Hudson,2:53,N,51059,+++++,1978,Saturday,Apr 16,,0,tied
9,1978-04-17,LAD,,CIN,W,9,1,,7-2,1,Tied,Heaney,Mahle,,3:02,D,41167,++++++,1978,Sunday,Apr 17,,0,tied
10,1978-04-18,LAD,,ATL,W,7,4,,8-2,1,up 0.5,Kershaw,Ynoa,Kimbrel,3:14,N,52052,+++++++,1978,Monday,Apr 18,,0.5,down
11,1978-04-19,LAD,,ATL,L,1,3,,8-3,1,Tied,Fried,Buehler,Jansen,2:49,N,51889,-,1978,Tuesday,Apr 19,,0,tied
12,1978-04-20,LAD,,ATL,W,5,1,,9-3,1,up 1.0,Gonsolin,Morton,,2:43,D,38888,+,1978,Wednesday,Apr 20,,1.0,down
13,1978-04-22,LAD,@,SDP,W,6,1,,10-3,1,up 1.5,Urias,Martinez,,3:25,N,44482,++,1978,Friday,Apr 22,,1.5,down
14,1978-04-23,LAD,@,SDP,L-wo,2,3,10,10-4,1,up 0.5,Suarez,Bruihl,,3:27,N,44444,-,1978,Saturday,Apr 23,,0.5,down
15,1978-04-24,LAD,@,SDP,W,10,2,,11-4,1,up 0.5,Kershaw,Manaea,,3:02,D,44930,+,1978,Sunday,Apr 24,,0.5,down
16,1978-04-25,LAD,@,ARI,W,4,0,,12-4,1,up 0.5,Buehler,Kelly,,2:33,N,17750,++,1978,Monday,Apr 25,,0.5,down
17,1978-04-26,LAD,@,ARI,L,3,5,,12-5,2,0.5,Kennedy,Graterol,Melancon,2:53,N,18063,-,1978,Tuesday,Apr 26,,0.5,down
18,1978-04-27,LAD,@,ARI,L,1,3,,12-6,2,0.5,Kennedy,Hudson,Melancon,2:36,D,15138,--,1978,Wednesday,Apr 27,,0.5,down
19,1978-04-29,LAD,,DET,W,5,1,,13-6,1,Tied,Anderson,Alexander,,2:43,N,49394,+,1978,Friday,Apr 29,,0,tied
20,1978-04-30,LAD,,DET,L,1,5,,13-7,2,0.5,Barnes,Phillips,,3:05,N,52613,-,1978,Saturday,Apr 30,,0.5,down
21,1978-05-01,LAD,,DET,W,6,3,,14-7,1,Tied,Buehler,Rodriguez,Kimbrel,2:57,D,51172,+,1978,Sunday,May 1,,0,tied
22,1978-05-03,LAD,,SFG,W,3,1,,15-7,1,up 0.5,Urias,Rodon,Kimbrel,3:05,N,43370,++,1978,Tuesday,May 3,,0.5,down
23,1978-05-04,LAD,,SFG,W,9,1,,16-7,1,up 1.0,Gonsolin,Wood,,3:00,N,52203,+++,1978,Wednesday,May 4,,1.0,down
24,1978-05-07,LAD,@,CHC,W,7,0,,17-7,1,up 1.5,Kershaw,Smyly,,2:43,D,37594,++++,1978,Saturday,May 7,1),1.5,down
25,1978-05-07,LAD,@,CHC,W,6,2,,18-7,1,up 1.5,Anderson,Norris,,3:05,N,31520,+++++,1978,Saturday,May 7,2),1.5,down
26,1978-05-08,LAD,@,CHC,W,7,1,,19-7,1,up 1.5,Buehler,Steele,,2:57,N,31424,++++++,1978,Sunday,May 8,,1.5,down
27,1978-05-09,LAD,@,PIT,L,1,5,,19-8,1,up 1.5,Quintana,Urias,,2:41,N,8527,-,1978,Monday,May 9,,1.5,down
28,1978-05-10,LAD,@,PIT,W,11,1,,20-8,1,up 1.5,Gonsolin,Wilson,,3:02,N,11583,+,1978,Tuesday,May 10,,1.5,down
29,1978-05-11,LAD,@,PIT,L,3,5,,20-9,1,up 1.5,Crowe,Hudson,Bednar,3:20,D,11105,-,1978,Wednesday,May 11,,1.5,down
30,1978-05-12,LAD,,PHI,L,7,9,,20-10,1,up 1.0,Bellatti,Hudson,Knebel,3:29,N,46539,--,1978,Thursday,May 12,,1.0,down
31,1978-05-13,LAD,,PHI,L,10,12,10,20-11,1,Tied,Familia,Graterol,Morales,4:18,N,50712,---,1978,Friday,May 13,,0,tied
32,1978-05-14,LAD,,PHI,L,3,8,,20-12,1,Tied,Suarez,Urias,,2:38,N,50279,----,1978,Saturday,May 14,,0,tied
33,1978-05-15,LAD,,PHI,W-wo,5,4,,21-12,1,Tied,Greene,Knebel,,3:33,D,51869,+,1978,Sunday,May 15,,0,tied
34,1978-05-16,LAD,,ARI,W,5,4,,22-12,1,up 0.5,Gonsolin,Bumgarner,Kimbrel,2:56,N,42650,++,1978,Monday,May 16,,0.5,down
35,1978-05-17,LAD,,ARI,W,7,6,,23-12,1,up 1.0,White,Gilbert,Kimbrel,3:10,D,42089,+++,1978,Tuesday,May 17,1),1.0,down
36,1978-05-17,LAD,,ARI,W,12,3,,24-12,1,up 1.0,Anderson,Kelly,,2:45,N,46850,++++,1978,Tuesday,May 17,2),1.0,down
37,1978-05-18,LAD,,ARI,W,5,3,,25-12,1,up 2.0,Buehler,Davies,Hudson,3:01,D,35643,+++++,1978,Wednesday,May 18,,2.0,down
38,1978-05-20,LAD,@,PHI,W,4,1,,26-12,1,up 1.5,Urias,Suarez,Kimbrel,3:44,N,30025,++++++,1978,Friday,May 20,,1.5,down
39,1978-05-21,LAD,@,PHI,W,7,4,,27-12,1,up 1.5,Hudson,Alvarado,Kimbrel,3:57,N,32068,+++++++,1978,Saturday,May 21,,1.5,down
40,1978-05-22,LAD,@,PHI,L-wo,3,4,10,27-13,1,up 0.5,Knebel,Phillips,,3:29,D,34021,-,1978,Sunday,May 22,,0.5,down
41,1978-05-23,LAD,@,WSN,W,10,1,,28-13,1,up 0.5,Anderson,Adon,,2:52,N,22423,+,1978,Monday,May 23,,0.5,down
42,1978-05-24,LAD,@,WSN,W,9,4,,29-13,1,up 1.5,Buehler,Gray,,3:19,N,22418,++,1978,Tuesday,May 24,,1.5,down
43,1978-05-25,LAD,@,WSN,L,0,1,,29-14,1,up 1.5,Fedde,Urias,Rainey,2:53,D,23341,-,1978,Wednesday,May 25,,1.5,down
44,1978-05-26,LAD,@,ARI,W,14,1,,30-14,1,up 2.0,Bruihl,Castellanos,,3:21,N,17057,+,1978,Thursday,May 26,,2.0,down
45,1978-05-27,LAD,@,ARI,W,6,4,,31-14,1,up 2.0,Graterol,Bumgarner,,3:11,N,24865,++,1978,Friday,May 27,,2.0,down
46,1978-05-28,LAD,@,ARI,W,3,2,,32-14,1,up 3.0,Gonsolin,Kelly,Hudson,3:12,D,30819,+++,1978,Saturday,May 28,,3.0,down
47,1978-05-29,LAD,@,ARI,W,3,1,,33-14,1,up 3.0,Anderson,Davies,Kimbrel,2:47,D,30482,++++,1978,Sunday,May 29,,3.0,down
48,1978-05-30,LAD,,PIT,L,5,6,,33-15,1,up 3.0,Bednar,Kimbrel,,3:18,N,46724,-,1978,Monday,May 30,,3.0,down
49,1978-05-31,LAD,,PIT,L,3,5,,33-16,1,up 3.0,Keller,Urias,Crowe,3:09,N,52686,--,1978,Tuesday,May 31,,3.0,down
50,1978-06-01,LAD,,PIT,L,4,8,,33-17,1,up 3.0,De Jong,White,,3:28,N,39324,---,1978,Wednesday,Jun 1,,3.0,down
51,1978-06-02,LAD,,NYM,W,2,0,,34-17,1,up 4.0,Gonsolin,Walker,Kimbrel,2:54,N,48018,+,1978,Thursday,Jun 2,,4.0,down
52,1978-06-03,LAD,,NYM,W,6,1,,35-17,1,up 4.0,Anderson,Bassitt,Hudson,2:55,N,52505,++,1978,Friday,Jun 3,,4.0,down
53,1978-06-04,LAD,,NYM,L,4,9,,35-18,1,up 3.0,Holderman,Buehler,,3:33,N,50165,-,1978,Saturday,Jun 4,,3.0,down
54,1978-06-05,LAD,,NYM,L,4,5,10,35-19,1,up 2.0,Lugo,Kimbrel,Medina,3:59,D,48672,--,1978,Sunday,Jun 5,,2.0,down
